date,SPR.T-5,PRC.T-5,VOL.T-5,SHROUT.T-5,RETX.T-5,SPR.T-4,PRC.T-4,VOL.T-4,SHROUT.T-4,RETX.T-4,SPR.T-3,PRC.T-3,VOL.T-3,SHROUT.T-3,RETX.T-3,SPR.T-2,PRC.T-2,VOL.T-2,SHROUT.T-2,RETX.T-2,SPR.T-1,PRC.T-1,VOL.T-1,SHROUT.T-1,RETX.T-1,sprtrn,MOVEMENT.T-0
2.Jan.08,0.44,22.49,42776121,5136588,-0.003986,0.68,23.11,42047402,5136588,0.027568,1.09,22.03,44938186,5136588,-0.046733,0.69,22.25,40071380,5136588,0.009986,1.18,21.15,43573050,5136588,-0.049438,-0.014438,1
3.Jan.08,0.68,23.11,42047402,5136588,0.027568,1.09,22.03,44938186,5136588,-0.046733,0.69,22.25,40071380,5136588,0.009986,1.18,21.15,43573050,5136588,-0.049438,0.54,21.61,47974811,5136588,0.021749,0,1
4.Jan.08,1.09,22.03,44938186,5136588,-0.046733,0.69,22.25,40071380,5136588,0.009986,1.18,21.15,43573050,5136588,-0.049438,0.54,21.61,47974811,5136588,0.021749,0.73,21.68,42107405,5136588,0.003239,-0.024552,0
7.Jan.08,0.69,22.25,40071380,5136588,0.009986,1.18,21.15,43573050,5136588,-0.049438,0.54,21.61,47974811,5136588,0.021749,0.73,21.68,42107405,5136588,0.003239,0.63,21.1,46255697,5136588,-0.026753,0.003223,1
8.Jan.08,1.18,21.15,43573050,5136588,-0.049438,0.54,21.61,47974811,5136588,0.021749,0.73,21.68,42107405,5136588,0.003239,0.63,21.1,46255697,5136588,-0.026753,1.015,22.06,48826155,5136588,0.045498,-0.018352,0
9.Jan.08,0.54,21.61,47974811,5136588,0.021749,0.73,21.68,42107405,5136588,0.003239,0.63,21.1,46255697,5136588,-0.026753,1.015,22.06,48826155,5136588,0.045498,0.75,21.31,39629043,5136588,-0.033998,0.013624,1
10.Jan.08,0.73,21.68,42107405,5136588,0.003239,0.63,21.1,46255697,5136588,-0.026753,1.015,22.06,48826155,5136588,0.045498,0.75,21.31,39629043,5136588,-0.033998,1.48,21.9175,76871181,5136588,0.028508,0.007948,0
11.Jan.08,0.63,21.1,46255697,5136588,-0.026753,1.015,22.06,48826155,5136588,0.045498,0.75,21.31,39629043,5136588,-0.033998,1.48,21.9175,76871181,5136588,0.028508,0.65,21.41,52853455,5136588,-0.023155,-0.013595,1
14.Jan.08,1.015,22.06,48826155,5136588,0.045498,0.75,21.31,39629043,5136588,-0.033998,1.48,21.9175,76871181,5136588,0.028508,0.65,21.41,52853455,5136588,-0.023155,0.66,21.58,51489006,5136588,0.00794,0.010871,0
15.Jan.08,0.75,21.31,39629043,5136588,-0.033998,1.48,21.9175,76871181,5136588,0.028508,0.65,21.41,52853455,5136588,-0.023155,0.66,21.58,51489006,5136588,0.00794,1.11,20.22,67027061,5136588,-0.063021,-0.024925,1
16.Jan.08,1.48,21.9175,76871181,5136588,0.028508,0.65,21.41,52853455,5136588,-0.023155,0.66,21.58,51489006,5136588,0.00794,1.11,20.22,67027061,5136588,-0.063021,1.16,20.61,56349586,5136588,0.019288,-0.005612,1
17.Jan.08,0.65,21.41,52853455,5136588,-0.023155,0.66,21.58,51489006,5136588,0.00794,1.11,20.22,67027061,5136588,-0.063021,1.16,20.61,56349586,5136588,0.019288,0.82,20.61,43764959,5136588,0,-0.029093,0
18.Jan.08,0.66,21.58,51489006,5136588,0.00794,1.11,20.22,67027061,5136588,-0.063021,1.16,20.61,56349586,5136588,0.019288,0.82,20.61,43764959,5136588,0,0.86,20.28,42325466,5136588,-0.016012,-0.006045,0
22.Jan.08,1.11,20.22,67027061,5136588,-0.063021,1.16,20.61,56349586,5136588,0.019288,0.82,20.61,43764959,5136588,0,0.86,20.28,42325466,5136588,-0.016012,0.39,20.26,29224008,5136588,-0.000986,-0.011085,0
23.Jan.08,1.16,20.61,56349586,5136588,0.019288,0.82,20.61,43764959,5136588,0,0.86,20.28,42325466,5136588,-0.016012,0.39,20.26,29224008,5136588,-0.000986,0.59,20.07,35571845,5136588,-0.009378,0.021442,1
24.Jan.08,0.82,20.61,43764959,5136588,0,0.86,20.28,42325466,5136588,-0.016012,0.39,20.26,29224008,5136588,-0.000986,0.59,20.07,35571845,5136588,-0.009378,0.79,20.27,42369529,5136588,0.009965,0.010063,1
25.Jan.08,0.86,20.28,42325466,5136588,-0.016012,0.39,20.26,29224008,5136588,-0.000986,0.59,20.07,35571845,5136588,-0.009378,0.79,20.27,42369529,5136588,0.009965,0.85,20.55,52775968,5136588,0.013813,-0.015872,1
28.Jan.08,0.39,20.26,29224008,5136588,-0.000986,0.59,20.07,35571845,5136588,-0.009378,0.79,20.27,42369529,5136588,0.009965,0.85,20.55,52775968,5136588,0.013813,0.56,20.68,41937191,5136588,0.006326,0.017556,0
29.Jan.08,0.59,20.07,35571845,5136588,-0.009378,0.79,20.27,42369529,5136588,0.009965,0.85,20.55,52775968,5136588,0.013813,0.56,20.68,41937191,5136588,0.006326,0.53,20.2,26669209,5136588,-0.023211,0.006152,0
30.Jan.08,0.79,20.27,42369529,5136588,0.009965,0.85,20.55,52775968,5136588,0.013813,0.56,20.68,41937191,5136588,0.006326,0.53,20.2,26669209,5136588,-0.023211,0.67,19.2599,55766556,5136588,-0.04654,-0.004764,1
31.Jan.08,0.85,20.55,52775968,5136588,0.013813,0.56,20.68,41937191,5136588,0.006326,0.53,20.2,26669209,5136588,-0.023211,0.67,19.2599,55766556,5136588,-0.04654,0.69,19.68,50356290,5136588,0.021812,0.016772,0
