date,BIDLO.T.30,ASKHI.T.30,PRC.T.30,VOL.T.30,BID.T.30,ASK.T.30,OPENPRC.T.30,RETX.T.30,vwretx.T.30,ewretx.T.30,sprtrn.T.30,Movement.T.30,Spread.T.30,Volatility.T.30,Change in volume.T.30,BIDLO.T.2,ASKHI.T.2,PRC.T.2,VOL.T.2,BID.T.2,ASK.T.2,OPENPRC.T.2,RETX.T.2,vwretx.T.2,ewretx.T.2,sprtrn.T.2,Movement.T.2,Spread.T.2,Volatility.T.2,Change in volume.T.2,BIDLO.T.1,ASKHI.T.1,PRC.T.1,VOL.T.1,BID.T.1,ASK.T.1,OPENPRC.T.1,RETX.T.1,vwretx.T.1,ewretx.T.1,sprtrn.T.1,Movement.T.1,Spread.T.1,Volatility.T.1,Change in volume.T.1,Movement.T.0
20070328,16.68,16.94,16.77,42296762,16.77,16.78,16.74,0.009633,0.007043,0.004547,0.007644,1,0.26,-0.00087,1.539503312,18.02,18.43,18.39,50484431,18.39,18.4,18.22,0.008224,0.000486,-0.000055,0.000968,1,0.41,0.00205,1.477523724,18.35,18.5,18.49,33082571,18.48,18.49,18.35,0.005438,-0.005705,-0.004908,-0.006184,1,0.15,0.00230,0.655302444,0
20070329,16.68,16.92,16.91,33876764,16.89,16.9,16.84,0.008348,0.001656,0.001407,0.001038,1,0.24,-0.00129,0.800930435,18.35,18.5,18.49,33082571,18.48,18.49,18.35,0.005438,-0.005705,-0.004908,-0.006184,1,0.15,0.00230,0.655302444,18.15,18.5,18.17,33797418,18.16,18.17,18.34,-0.017307,-0.007241,-0.004751,-0.007966,0,0.35,0.00219,1.021607964,0
20070330,16.6995,16.98,16.7,34121037,16.7,16.7,16.89,-0.012419,0.000465,0.002593,-0.000872,0,0.28,-0.00191,1.007210636,18.15,18.5,18.17,33797418,18.16,18.17,18.34,-0.017307,-0.007241,-0.004751,-0.007966,0,0.35,0.00219,1.021607964,17.95,18.33,18.16,28851017,18.17,18.18,18.33,-0.00055,0.003475,0.001934,0.00374,0,0.38,0.00182,0.853645595,0
20070402,16.57,16.98,16.98,31925342,16.97,16.98,16.69,0.016766,0.00356,0.005941,0.002844,1,0.41,-0.00138,0.935649816,17.95,18.33,18.16,28851017,18.17,18.18,18.33,-0.00055,0.003475,0.001934,0.00374,0,0.38,0.00182,0.853645595,17.89,18.27,18.13,20835427,18.11,18.11,18.15,-0.001652,-0.000393,0.002428,-0.001174,0,0.38,0.00164,0.722173052,1
20070403,16.95,17.28,17.2,50844801,17.21,17.21,16.97,0.012956,-0.000342,0.001616,-0.001404,1,0.33,-0.00137,1.592615703,17.89,18.27,18.13,20835427,18.11,18.11,18.15,-0.001652,-0.000393,0.002428,-0.001174,0,0.38,0.00164,0.722173052,17.9899,18.18,18.14,20723567,18.13,18.14,18.08,0.000552,0.003,0.001973,0.002597,1,0.19,0.00213,0.99463126,1
20070404,17.01,17.3,17.27,33049728,17.26,17.27,17.26,0.00407,-0.000589,0.002212,-0.000858,1,0.29,-0.00114,0.650011945,17.9899,18.18,18.14,20723567,18.13,18.14,18.08,0.000552,0.003,0.001973,0.002597,1,0.19,0.00213,0.99463126,18.17,18.47,18.36,32546713,18.35,18.36,18.23,0.012128,0.008659,0.006603,0.00928,1,0.30,0.00180,1.570516939,1
20070405,16.71,17.26,16.82,54253164,16.8,16.81,17.24,-0.026057,-0.002646,0.000056,-0.003564,0,0.55,-0.00218,1.641561589,18.17,18.47,18.36,32546713,18.35,18.36,18.23,0.012128,0.008659,0.006603,0.00928,1,0.30,0.00180,1.570516939,18.33,18.57,18.56,23413875,18.55,18.56,18.35,0.010893,0.001466,0.001164,0.001113,1,0.24,0.00173,0.719392923,1
20070409,16,17.02,16.82,33295670,16.82,16.83,16.91,0,-0.001358,-0.001145,-0.001254,0,1.02,-0.00159,0.613709276,18.33,18.57,18.56,23413875,18.55,18.56,18.35,0.010893,0.001466,0.001164,0.001113,1,0.24,0.00173,0.719392923,18.39,18.67,18.67,21896021,18.65,18.67,18.5,0.005927,0.003322,0.003144,0.00305,1,0.28,0.00201,0.935172884,0
20070410,16.29,16.8,16.29,39847107,16.31,16.33,16.65,-0.03151,-0.0342,-0.031302,-0.034725,0,0.51,-0.00261,1.196765435,18.39,18.67,18.67,21896021,18.65,18.67,18.5,0.005927,0.003322,0.003144,0.00305,1,0.28,0.00201,0.935172884,18.54,18.7,18.57,20131377,18.56,18.57,18.66,-0.005356,0.00057,0.000826,0.000589,0,0.16,0.00268,0.919408006,1
20070411,16.31,16.84,16.43,47580000,16.44,16.45,16.37,0.008594,0.004514,0.003754,0.005561,1,0.53,-0.00232,1.194064101,18.54,18.7,18.57,20131377,18.56,18.57,18.66,-0.005356,0.00057,0.000826,0.000589,0,0.16,0.00268,0.919408006,18.68,18.88,18.85,24446353,18.84,18.85,18.78,0.015078,0.002666,0.002396,0.002617,1,0.20,0.00299,1.214340827,0
