date,RETX.T.30,vwretx.T.30,ewretx.T.30,sprtrn.T.30,Spread.T.30,Volatility.T.30,Change in volume.T.30,RETX.T.2,vwretx.T.2,ewretx.T.2,sprtrn.T.2,Spread.T.2,Volatility.T.2,Change in volume.T.2,RETX.T.1,vwretx.T.1,ewretx.T.1,sprtrn.T.1,Spread.T.1,Volatility.T.1,Change in volume.T.1,Movement.T.0
20070328,0.009633,0.007043,0.004547,0.007644,0.26,-0.00087,1.539503312,0.008224,0.000486,-0.000055,0.000968,0.41,0.00205,1.477523724,0.005438,-0.005705,-0.004908,-0.006184,0.15,0.0023,0.655302444,0
20070329,0.008348,0.001656,0.001407,0.001038,0.24,-0.00129,0.800930435,0.005438,-0.005705,-0.004908,-0.006184,0.15,0.0023,0.655302444,-0.017307,-0.007241,-0.004751,-0.007966,0.35,0.00219,1.021607964,0
20070330,-0.012419,0.000465,0.002593,-0.000872,0.28,-0.00191,1.007210636,-0.017307,-0.007241,-0.004751,-0.007966,0.35,0.00219,1.021607964,-0.00055,0.003475,0.001934,0.00374,0.38,0.00182,0.853645595,0
20070402,0.016766,0.00356,0.005941,0.002844,0.41,-0.00138,0.935649816,-0.00055,0.003475,0.001934,0.00374,0.38,0.00182,0.853645595,-0.001652,-0.000393,0.002428,-0.001174,0.38,0.00164,0.722173052,1
20070403,0.012956,-0.000342,0.001616,-0.001404,0.33,-0.00137,1.592615703,-0.001652,-0.000393,0.002428,-0.001174,0.38,0.00164,0.722173052,0.000552,0.003,0.001973,0.002597,0.19,0.00213,0.99463126,1
20070404,0.00407,-0.000589,0.002212,-0.000858,0.29,-0.00114,0.650011945,0.000552,0.003,0.001973,0.002597,0.19,0.00213,0.99463126,0.012128,0.008659,0.006603,0.00928,0.3,0.0018,1.570516939,1
20070405,-0.026057,-0.002646,0.000056,-0.003564,0.55,-0.00218,1.641561589,0.012128,0.008659,0.006603,0.00928,0.3,0.0018,1.570516939,0.010893,0.001466,0.001164,0.001113,0.24,0.00173,0.719392923,1
20070409,0,-0.001358,-0.001145,-0.001254,1.02,-0.00159,0.613709276,0.010893,0.001466,0.001164,0.001113,0.24,0.00173,0.719392923,0.005927,0.003322,0.003144,0.00305,0.28,0.00201,0.935172884,0
20070410,-0.03151,-0.0342,-0.031302,-0.034725,0.51,-0.00261,1.196765435,0.005927,0.003322,0.003144,0.00305,0.28,0.00201,0.935172884,-0.005356,0.00057,0.000826,0.000589,0.16,0.00268,0.919408006,1
20070411,0.008594,0.004514,0.003754,0.005561,0.53,-0.00232,1.194064101,-0.005356,0.00057,0.000826,0.000589,0.16,0.00268,0.919408006,0.015078,0.002666,0.002396,0.002617,0.2,0.00299,1.214340827,0
