date,BIDLO.T-5,ASKHI.T-5,SPR.T-5,PRC.T-5,VOL.T-5,BID.T-5,ASK.T-5,SHROUT.T-5,OPENPRC.T-5,RETX.T-5,BIDLO.T-4,ASKHI.T-4,SPR.T-4,PRC.T-4,VOL.T-4,BID.T-4,ASK.T-4,SHROUT.T-4,OPENPRC.T-4,RETX.T-4,BIDLO.T-3,ASKHI.T-3,SPR.T-3,PRC.T-3,VOL.T-3,BID.T-3,ASK.T-3,SHROUT.T-3,OPENPRC.T-3,RETX.T-3,BIDLO.T-2,ASKHI.T-2,SPR.T-2,PRC.T-2,VOL.T-2,BID.T-2,ASK.T-2,SHROUT.T-2,OPENPRC.T-2,RETX.T-2,BIDLO.T-1,ASKHI.T-1,SPR.T-1,PRC.T-1,VOL.T-1,BID.T-1,ASK.T-1,SHROUT.T-1,OPENPRC.T-1,RETX.T-1,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn,MOVEMENT.T-0
2.Jan.08,22.38,22.82,0.44,22.49,42776121,22.49,22.5,5136588,22.55,-0.003986,22.43,23.11,0.68,23.11,42047402,23.07,23.09,5136588,22.43,0.027568,21.79,22.88,1.09,22.03,44938186,21.99,22,5136588,22.77,-0.046733,21.79,22.48,0.69,22.25,40071380,22.25,22.27,5136588,21.96,0.009986,21.14,22.32,1.18,21.15,43573050,21.15,21.16,5136588,22.24,-0.049438,-0.014101,-0.014298,-0.017169,-0.017271,13001736800,500,13190325300,500,1447.16,-0.014438,1
3.Jan.08,22.43,23.11,0.68,23.11,42047402,23.07,23.09,5136588,22.43,0.027568,21.79,22.88,1.09,22.03,44938186,21.99,22,5136588,22.77,-0.046733,21.79,22.48,0.69,22.25,40071380,22.25,22.27,5136588,21.96,0.009986,21.14,22.32,1.18,21.15,43573050,21.15,21.16,5136588,22.24,-0.049438,21.15,21.69,0.54,21.61,47974811,21.6,21.61,5136588,21.34,0.021749,0.000023,0.000023,-0.00611,-0.00611,13002034000,500,13001736800,500,1447.16,0,1
4.Jan.08,21.79,22.88,1.09,22.03,44938186,21.99,22,5136588,22.77,-0.046733,21.79,22.48,0.69,22.25,40071380,22.25,22.27,5136588,21.96,0.009986,21.14,22.32,1.18,21.15,43573050,21.15,21.16,5136588,22.24,-0.049438,21.15,21.69,0.54,21.61,47974811,21.6,21.61,5136588,21.34,0.021749,21.07,21.8,0.73,21.68,42107405,21.66,21.68,5136588,21.46,0.003239,-0.024441,-0.024441,-0.028463,-0.028463,12684267800,500,13002034000,500,1411.63,-0.024552,0
7.Jan.08,21.79,22.48,0.69,22.25,40071380,22.25,22.27,5136588,21.96,0.009986,21.14,22.32,1.18,21.15,43573050,21.15,21.16,5136588,22.24,-0.049438,21.15,21.69,0.54,21.61,47974811,21.6,21.61,5136588,21.34,0.021749,21.07,21.8,0.73,21.68,42107405,21.66,21.68,5136588,21.46,0.003239,21.06,21.69,0.63,21.1,46255697,21.07,21.07,5136588,21.53,-0.026753,0.003272,0.003262,0.002608,0.002591,12725639600,500,12684267800,500,1416.18,0.003223,1
8.Jan.08,21.14,22.32,1.18,21.15,43573050,21.15,21.16,5136588,22.24,-0.049438,21.15,21.69,0.54,21.61,47974811,21.6,21.61,5136588,21.34,0.021749,21.07,21.8,0.73,21.68,42107405,21.66,21.68,5136588,21.46,0.003239,21.06,21.69,0.63,21.1,46255697,21.07,21.07,5136588,21.53,-0.026753,21.105,22.12,1.015,22.06,48826155,22.04,22.06,5136588,21.44,0.045498,-0.017673,-0.017998,-0.022504,-0.022623,12496601100,500,12725639600,500,1390.19,-0.018352,0
9.Jan.08,21.15,21.69,0.54,21.61,47974811,21.6,21.61,5136588,21.34,0.021749,21.07,21.8,0.73,21.68,42107405,21.66,21.68,5136588,21.46,0.003239,21.06,21.69,0.63,21.1,46255697,21.07,21.07,5136588,21.53,-0.026753,21.105,22.12,1.015,22.06,48826155,22.04,22.06,5136588,21.44,0.045498,21.3,22.05,0.75,21.31,39629043,21.3,21.31,5136588,21.76,-0.033998,0.013316,0.013241,0.008873,0.008764,12662064900,500,12496601100,500,1409.13,0.013624,1
10.Jan.08,21.07,21.8,0.73,21.68,42107405,21.66,21.68,5136588,21.46,0.003239,21.06,21.69,0.63,21.1,46255697,21.07,21.07,5136588,21.53,-0.026753,21.105,22.12,1.015,22.06,48826155,22.04,22.06,5136588,21.44,0.045498,21.3,22.05,0.75,21.31,39629043,21.3,21.31,5136588,21.76,-0.033998,20.85,22.33,1.48,21.9175,76871181,21.86,21.87,5136588,21.03,0.028508,0.007985,0.007969,0.013679,0.013642,12762972400,500,12662064900,500,1420.33,0.007948,0
11.Jan.08,21.06,21.69,0.63,21.1,46255697,21.07,21.07,5136588,21.53,-0.026753,21.105,22.12,1.015,22.06,48826155,22.04,22.06,5136588,21.44,0.045498,21.3,22.05,0.75,21.31,39629043,21.3,21.31,5136588,21.76,-0.033998,20.85,22.33,1.48,21.9175,76871181,21.86,21.87,5136588,21.03,0.028508,21.3,21.95,0.65,21.41,52853455,21.38,21.36,5136588,21.9,-0.023155,-0.013669,-0.013729,-0.013391,-0.013429,12587748900,500,12762972400,500,1401.02,-0.013595,1
14.Jan.08,21.105,22.12,1.015,22.06,48826155,22.04,22.06,5136588,21.44,0.045498,21.3,22.05,0.75,21.31,39629043,21.3,21.31,5136588,21.76,-0.033998,20.85,22.33,1.48,21.9175,76871181,21.86,21.87,5136588,21.03,0.028508,21.3,21.95,0.65,21.41,52853455,21.38,21.36,5136588,21.9,-0.023155,21.17,21.83,0.66,21.58,51489006,21.57,21.58,5136588,21.35,0.00794,0.010698,0.010698,0.009922,0.009922,12722412900,500,12587748900,500,1416.25,0.010871,0
15.Jan.08,21.3,22.05,0.75,21.31,39629043,21.3,21.31,5136588,21.76,-0.033998,20.85,22.33,1.48,21.9175,76871181,21.86,21.87,5136588,21.03,0.028508,21.3,21.95,0.65,21.41,52853455,21.38,21.36,5136588,21.9,-0.023155,21.17,21.83,0.66,21.58,51489006,21.57,21.58,5136588,21.35,0.00794,19.68,20.79,1.11,20.22,67027061,20.12,20.14,5136588,20.28,-0.063021,-0.024854,-0.024865,-0.026423,-0.026455,12406066300,500,12722412900,500,1380.95,-0.024925,1
16.Jan.08,20.85,22.33,1.48,21.9175,76871181,21.86,21.87,5136588,21.03,0.028508,21.3,21.95,0.65,21.41,52853455,21.38,21.36,5136588,21.9,-0.023155,21.17,21.83,0.66,21.58,51489006,21.57,21.58,5136588,21.35,0.00794,19.68,20.79,1.11,20.22,67027061,20.12,20.14,5136588,20.28,-0.063021,19.52,20.68,1.16,20.61,56349586,20.61,20.58,5136588,19.58,0.019288,-0.005303,-0.005411,0.002143,0.00211,12338943100,500,12406066300,500,1373.2,-0.005612,1
