caldt,vwretd.T.30,vwretx.T.30,ewretd.T.30,ewretx.T.30,totval.T.30,usdval.T.30,spindx.T.30,sprtrn.T.30,chusdval.T.30,vol.T.30,vwretd.T.2,vwretx.T.2,ewretd.T.2,ewretx.T.2,totval.T.2,usdval.T.2,spindx.T.2,sprtrn.T.2,chusdval.T.2,vol.T.2,vwretd.T.1,vwretx.T.1,ewretd.T.1,ewretx.T.1,totval.T.1,usdval.T.1,spindx.T.1,sprtrn.T.1,chusdval.T.1,vol.T.1,vwretd.T.0,vwretx.T.0,ewretd.T.0,ewretx.T.0,totval.T.0,usdval.T.0,spindx.T.0,sprtrn.T.0,chusdval.T.0,vol.T.0,Movement.T.0
20010213,-0.008527,-0.008614,-0.002075,-0.00217,11602326300,11702997500,1318.8,-0.008652,1.012403393,0.014134113,0.019876,0.019876,0.018298,0.018298,10061709300,9865053770,1139.83,0.019909,0.996201183,0.015446258,0.011112,0.011112,0.013148,0.013148,10173510500,10061709300,1152.69,0.011282,1.019934562,0.015645005,0.025461,0.025461,0.014384,0.014384,10432533600,10173510500,1182.17,0.025575,1.011111551,0.016319179,1
20010214,-0.001943,-0.002131,0.000228,0.000009,11592726800,11602326300,1315.92,-0.002184,0.991397828,0.013113709,0.011112,0.011112,0.013148,0.013148,10173510500,10061709300,1152.69,0.011282,1.019934562,0.015645005,0.025461,0.025461,0.014384,0.014384,10432533600,10173510500,1182.17,0.025575,1.011111551,0.016319179,-0.024266,-0.024362,-0.020908,-0.021059,10178381600,10432533600,1153.29,-0.02443,1.025460543,0.01673008,0
20010215,0.008388,0.008307,0.009689,0.009581,11692045900,11592726800,1326.61,0.008124,0.999172623,0.009398642,0.025461,0.025461,0.014384,0.014384,10432533600,10173510500,1182.17,0.025575,1.011111551,0.016319179,-0.024266,-0.024362,-0.020908,-0.021059,10178381600,10432533600,1153.29,-0.02443,1.025460543,0.01673008,-0.004697,-0.004722,-0.003041,-0.003086,10130473000,10178381600,1147.95,-0.00463,0.975638516,0.016725251,0
20010216,-0.019003,-0.019019,-0.014006,-0.014066,11469771500,11692045900,1301.53,-0.018905,1.008567363,0.00982155,-0.024266,-0.024362,-0.020908,-0.021059,10178381600,10432533600,1153.29,-0.02443,1.025460543,0.01673008,-0.004697,-0.004722,-0.003041,-0.003086,10130473000,10178381600,1147.95,-0.00463,0.975638516,0.016725251,0.01081,0.01081,0.009753,0.009753,10251553800,10130473000,1160.33,0.010784,0.995293102,0.016800845,1
20010220,-0.017329,-0.017339,-0.013838,-0.01385,11271180500,11469771500,1278.94,-0.017357,0.980989264,0.009136659,-0.004697,-0.004722,-0.003041,-0.003086,10130473000,10178381600,1147.95,-0.00463,0.975638516,0.016725251,0.01081,0.01081,0.009753,0.009753,10251553800,10130473000,1160.33,0.010784,0.995293102,0.016800845,-0.012619,-0.012619,-0.013305,-0.013305,10130070000,10258959000,1145.87,-0.012462,1.01268312,0.016648422,0
20010221,-0.018551,-0.01861,-0.015001,-0.015119,11061426200,11271180500,1255.27,-0.018508,0.982685706,0.009711809,0.01081,0.01081,0.009753,0.009753,10251553800,10130473000,1160.33,0.010784,0.995293102,0.016800845,-0.012619,-0.012619,-0.013305,-0.013305,10130070000,10258959000,1145.87,-0.012462,1.01268312,0.016648422,-0.034401,-0.034401,-0.033675,-0.033675,9788838070,10141028600,1106.46,-0.034393,0.988504643,0.017390149,0
20010222,-0.002012,-0.002046,-0.003263,-0.003378,11038798500,11061426200,1252.82,-0.001952,0.98139021,0.009669958,-0.012619,-0.012619,-0.013305,-0.013305,10130070000,10258959000,1145.87,-0.012462,1.01268312,0.016648422,-0.034401,-0.034401,-0.033675,-0.033675,9788838070,10141028600,1106.46,-0.034393,0.988504643,0.017390149,-0.00285,-0.003046,0.000748,0.000638,9759024380,9788838070,1103.25,-0.002901,0.965270729,0.017194245,0
20010223,-0.005536,-0.00555,-0.003972,-0.004,10977465600,11038798500,1245.86,-0.005555,0.99795436,0.009480506,-0.034401,-0.034401,-0.033675,-0.033675,9788838070,10141028600,1106.46,-0.034393,0.988504643,0.017390149,-0.00285,-0.003046,0.000748,0.000638,9759024380,9788838070,1103.25,-0.002901,0.965270729,0.017194245,0.043928,0.043914,0.042075,0.042063,10187585400,9759024380,1151.44,0.04368,0.996954318,0.019286461,1
20010226,0.017562,0.017509,0.019133,0.019057,11169432000,10977465600,1267.65,0.01749,0.994443879,0.009876464,-0.00285,-0.003046,0.000748,0.000638,9759024380,9788838070,1103.25,-0.002901,0.965270729,0.017194245,0.043928,0.043914,0.042075,0.042063,10187585400,9759024380,1151.44,0.04368,0.996954318,0.019286461,-0.020124,-0.020359,-0.025141,-0.025254,9980170260,10187585400,1128.43,-0.019984,1.04391433,0.019540202,0
20010227,-0.007641,-0.007717,-0.0077,-0.007929,11065378300,11151406300,1257.94,-0.00766,1.015845251,0.009900689,0.043928,0.043914,0.042075,0.042063,10187585400,9759024380,1151.44,0.04368,0.996954318,0.019286461,-0.020124,-0.020359,-0.025141,-0.025254,9980170260,10187585400,1128.43,-0.019984,1.04391433,0.019540202,0.00799,0.007989,0.012383,0.012379,10059898300,9980170260,1137.59,0.008117,0.979640402,0.019272573,1
20010228,-0.013917,-0.014082,-0.011031,-0.011189,10939528400,11065378300,1239.94,-0.014309,0.992285457,0.010053058,-0.020124,-0.020359,-0.025141,-0.025254,9980170260,10187585400,1128.43,-0.019984,1.04391433,0.019540202,0.00799,0.007989,0.012383,0.012379,10059898300,9980170260,1137.59,0.008117,0.979640402,0.019272573,0.027424,0.027306,0.03136,0.031269,10334551200,10059898300,1168.38,0.027066,1.007988645,0.020036943,1
20010301,0.001041,0.001016,0.00163,0.001528,10957039600,10938234300,1241.23,0.00104,0.988509747,0.010038882,0.00799,0.007989,0.012383,0.012379,10059898300,9980170260,1137.59,0.008117,0.979640402,0.019272573,0.027424,0.027306,0.03136,0.031269,10334551200,10059898300,1168.38,0.027066,1.007988645,0.020036943,-0.002032,-0.002044,-0.003761,-0.003817,10313430200,10334551200,1165.89,-0.002131,1.027301757,0.019907456,0
20010302,-0.005929,-0.005929,0.004007,0.004004,10892051600,10957039600,1234.18,-0.00568,1.001719226,0.009578586,0.027424,0.027306,0.03136,0.031269,10334551200,10059898300,1168.38,0.027066,1.007988645,0.020036943,-0.002032,-0.002044,-0.003761,-0.003817,10313430200,10334551200,1165.89,-0.002131,1.027301757,0.019907456,0.015173,0.015167,0.013963,0.013941,10471820100,10313430200,1183.5,0.015104,0.997956273,0.02014228,1
20010305,0.006105,0.005954,0.007167,0.007141,10956905800,10892051600,1241.41,0.005858,0.994068836,0.009707312,-0.002032,-0.002044,-0.003761,-0.003817,10313430200,10334551200,1165.89,-0.002131,1.027301757,0.019907456,0.015173,0.015167,0.013963,0.013941,10471820100,10313430200,1183.5,0.015104,0.997956273,0.02014228,-0.003394,-0.003394,-0.003616,-0.003616,10436276200,10471820100,1179.68,-0.003228,1.015357635,0.020129241,0
20010306,0.010168,0.010151,0.009803,0.009761,11068126500,10956905800,1253.8,0.009981,1.005954269,0.009963535,0.015173,0.015167,0.013963,0.013941,10471820100,10313430200,1183.5,0.015104,0.997956273,0.02014228,-0.003394,-0.003394,-0.003616,-0.003616,10436276200,10471820100,1179.68,-0.003228,1.015357635,0.020129241,0.010463,0.010463,0.010639,0.010639,10545470100,10436276200,1191.81,0.010282,0.996605757,0.020199632,1
20010307,0.006646,0.00645,0.009267,0.00902,11139513600,11068126500,1261.89,0.006452,1.01015074,0.009684314,-0.003394,-0.003394,-0.003616,-0.003616,10436276200,10471820100,1179.68,-0.003228,1.015357635,0.020129241,0.010463,0.010463,0.010639,0.010639,10545470100,10436276200,1191.81,0.010282,0.996605757,0.020199632,0.039393,0.039336,0.038995,0.038969,10960283000,10545470100,1238.16,0.03889,1.010462918,0.021403178,1
